datetime,cpm,cps
 2019-07-31 18:37:20,16,0
 2019-07-31 18:37:21,16,0
 2019-07-31 18:37:21,17,1
 2019-07-31 18:37:22,19,2
 2019-07-31 18:37:24,18,0
 2019-07-31 18:37:25,18,0
 2019-07-31 18:37:26,18,0
 2019-07-31 18:37:27,17,0
 2019-07-31 18:37:28,17,0
 2019-07-31 18:37:29,17,1
 2019-07-31 18:37:29,17,0
 2019-07-31 18:37:30,18,1
 2019-07-31 18:37:32,18,0
 2019-07-31 18:37:33,18,0
 2019-07-31 18:37:34,18,0
 2019-07-31 18:37:35,18,0
 2019-07-31 18:37:36,18,0
 2019-07-31 18:37:36,19,1
 2019-07-31 18:37:37,20,1
 2019-07-31 18:37:39,18,0
 2019-07-31 18:37:40,17,0
 2019-07-31 18:37:41,17,0
 2019-07-31 18:37:42,17,0
 2019-07-31 18:37:43,17,0
 2019-07-31 18:37:44,17,0
 2019-07-31 18:37:44,18,1
 2019-07-31 18:37:45,18,0
 2019-07-31 18:37:47,18,0
 2019-07-31 18:37:48,19,1
 2019-07-31 18:37:49,19,0
 2019-07-31 18:37:50,17,0
 2019-07-31 18:37:51,18,1
 2019-07-31 18:37:51,19,1
 2019-07-31 18:37:52,19,0
 2019-07-31 18:37:54,18,0
 2019-07-31 18:37:55,18,0
 2019-07-31 18:37:57,19,1
 2019-07-31 18:37:58,19,1
 2019-07-31 18:37:59,19,0
 2019-07-31 18:37:59,18,0
 2019-07-31 18:38:01,18,0
 2019-07-31 18:38:02,18,0
 2019-07-31 18:38:03,18,0
 2019-07-31 18:38:04,18,0
 2019-07-31 18:38:05,18,0
 2019-07-31 18:38:06,17,0
 2019-07-31 18:38:06,17,1
 2019-07-31 18:38:07,17,0
 2019-07-31 18:38:09,17,0
 2019-07-31 18:38:10,17,0
 2019-07-31 18:38:11,16,0
 2019-07-31 18:38:12,16,0
 2019-07-31 18:38:13,16,0
 2019-07-31 18:38:13,16,0
 2019-07-31 18:38:14,16,0
 2019-07-31 18:38:16,15,0
 2019-07-31 18:38:17,16,1
 2019-07-31 18:38:18,16,0
 2019-07-31 18:38:19,15,0
 2019-07-31 18:38:20,16,1
 2019-07-31 18:38:21,16,0
 2019-07-31 18:38:21,16,0
 2019-07-31 18:38:22,15,0
 2019-07-31 18:38:24,13,0
 2019-07-31 18:38:25,13,0
 2019-07-31 18:38:26,13,0
 2019-07-31 18:38:27,13,0
 2019-07-31 18:38:28,13,0
 2019-07-31 18:38:28,13,0
 2019-07-31 18:38:29,12,0
 2019-07-31 18:38:31,13,1
 2019-07-31 18:38:32,12,0
 2019-07-31 18:38:33,12,0
 2019-07-31 18:38:34,12,0
 2019-07-31 18:38:35,13,1
 2019-07-31 18:38:36,13,0
 2019-07-31 18:38:36,14,1
 2019-07-31 18:38:38,13,0
 2019-07-31 18:38:39,12,0
